City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Foca,TR,38.6703,26.7566,60.64,61,5,20.92,clear sky
177,Zanzibar,TZ,-6.1639,39.1979,71.85,88,6,4.45,clear sky
178,Imeni Poliny Osipenko,RU,52.4201,136.4853,29.26,69,26,2.15,scattered clouds
179,Horasan,TR,40.0458,42.1728,58.73,36,3,3.18,clear sky
180,Husavik,IS,66.0449,-17.3389,41.83,96,100,16.8,overcast clouds
181,Erenhot,CN,43.6475,111.9767,33.4,22,0,5.06,clear sky
182,Payo,ID,-3.7508,103.6372,72.0,98,94,1.03,overcast clouds
183,Namibe,AO,-15.1961,12.1522,65.03,88,74,2.98,broken clouds
184,Bayangol,RU,50.6977,103.4656,20.55,83,4,1.16,clear sky
185,Rio Gallegos,AR,-51.6226,-69.2181,59.05,41,40,21.85,scattered clouds
186,Klaksvik,FO,62.2266,-6.589,49.12,78,3,39.73,clear sky
187,Cherskiy,RU,68.75,161.3,22.87,75,19,4.52,few clouds
188,Richards Bay,ZA,-28.783,32.0377,66.02,73,51,2.1,broken clouds
189,Karratha,AU,-20.7377,116.8463,69.22,42,0,5.79,clear sky
190,Atikokan,CA,48.7555,-91.6216,58.51,68,100,3.83,overcast clouds
191,Saint-Francois,FR,46.4154,3.9054,47.68,100,100,2.3,fog
192,Hemet,US,33.7475,-116.972,96.22,35,8,11.99,clear sky
193,Nanortalik,GL,60.1432,-45.2371,37.04,96,100,14.29,light rain
194,Cayenne,GF,4.9333,-52.3333,82.44,74,0,5.75,clear sky
195,Svetlogorsk,BY,52.6333,29.7333,46.29,86,100,12.77,overcast clouds
196,Samarai,PG,-10.6167,150.6667,81.01,83,95,16.62,overcast clouds
197,Tual,ID,-5.6667,132.75,81.57,79,100,9.53,overcast clouds
198,Lompoc,US,34.6391,-120.4579,86.14,72,20,11.5,few clouds
199,La Ronge,CA,55.1001,-105.2842,66.45,34,40,6.91,smoke
200,San Andres,CO,12.5847,-81.7006,87.82,70,40,6.91,scattered clouds
201,Sola,VU,-13.8833,167.55,80.08,78,31,16.04,scattered clouds
202,Victoria,HK,22.2855,114.1577,84.38,81,43,4.0,scattered clouds
203,Srednekolymsk,RU,67.45,153.6833,19.02,83,9,7.96,clear sky
204,Cuamba,MZ,-14.8031,36.5372,73.92,22,5,5.08,clear sky
205,Gogrial,SS,8.5332,28.1004,71.33,89,95,2.95,overcast clouds
206,Kongolo,CD,-5.3833,27.0,73.2,75,93,2.77,overcast clouds
207,Mbaiki,CF,3.8678,17.9892,68.85,96,83,1.21,broken clouds
208,Chuy,UY,-33.6971,-53.4616,54.64,86,13,6.67,few clouds
209,Teguldet,RU,57.3064,88.1667,33.19,81,100,6.42,overcast clouds
210,Kodiak,US,57.79,-152.4072,53.11,94,100,23.02,moderate rain
211,Chara,RU,56.9064,118.2631,15.12,78,57,2.66,broken clouds
212,Berlevag,NO,70.8578,29.0864,41.0,85,85,12.44,overcast clouds
213,Kansanshi,ZM,-12.0951,26.4273,65.03,34,3,3.09,clear sky
214,Bayji,IQ,34.9311,43.487,84.49,13,0,9.51,clear sky
215,Shingu,JP,33.7333,135.9833,75.0,87,58,3.87,broken clouds
216,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,87,75,10.36,broken clouds
217,Ahipara,NZ,-35.1667,173.1667,59.02,64,85,13.02,overcast clouds
218,Cururupu,BR,-1.8283,-44.8683,76.39,79,20,4.5,few clouds
219,Lagoa,PT,39.05,-27.9833,70.7,85,100,14.23,overcast clouds
220,Chardara,KZ,41.2547,67.9692,54.59,36,0,9.78,clear sky
221,Ejea De Los Caballeros,ES,42.1263,-1.1372,62.82,53,0,4.07,clear sky
